catalog_id,initial,name,runtime_family,runtime_type,languages_or_code,execution_model,bytecode_or_ir,memory_management,typical_environment,sandbox_model,provider_or_project,engine_or_host_relation,stateofjs_runtime_rank_2025,stateofjs_runtime_users_2025,stateofjs_runtime_use_pct_2025,stateofjs_edge_rank_2025,stateofjs_edge_users_2025,stateofjs_edge_use_pct_2025,stackoverflow_web_rank_2025,stackoverflow_web_used_pct_2025,country_data_status,gender_data_status,notes,source_url
477,S,SWI-Prolog Runtime,Other language runtimes,Language runtime / VM / execution environment,"Prolog, Tcl, AWK, Forth, Haxe, Dart and others",Interpreter / JIT / AOT / native varies,Language-specific bytecode / native / JS / Wasm,Varies,"CLI, server, desktop, browser, embedded",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/Comparison_of_application_virtualization_software
478,S,SWI-Prolog VM,Historical / portable VMs,Virtual machine / educational or legacy runtime,Various,Interpreter / JIT / AOT varies,Portable bytecode / IR,Varies,"Historical, research, legacy systems",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/Comparison_of_application_virtualization_software
479,S,Swift Concurrency Runtime,Native / compiled-language runtime systems,Runtime system / execution engine,"Go, Haskell, OCaml, Julia, R, Swift, Kotlin Native, Rust, Zig, Nim, D, Ada, Fortran and others",Native compiled / JIT / bytecode varies,Native code / LLVM IR / language-specific IR,Manual / GC / ARC / ownership varies,Native desktop/server/embedded,OS process boundary,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/Comparison_of_application_virtualization_software
480,S,Swift Embedded Runtime,Native / compiled-language runtime systems,Runtime system / execution engine,"Go, Haskell, OCaml, Julia, R, Swift, Kotlin Native, Rust, Zig, Nim, D, Ada, Fortran and others",Native compiled / JIT / bytecode varies,Native code / LLVM IR / language-specific IR,Manual / GC / ARC / ownership varies,Native desktop/server/embedded,OS process boundary,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/Comparison_of_application_virtualization_software
481,S,Swift Runtime,Native / compiled-language runtime systems,Runtime system / execution engine,"Go, Haskell, OCaml, Julia, R, Swift, Kotlin Native, Rust, Zig, Nim, D, Ada, Fortran and others",Native compiled / JIT / bytecode varies,Native code / LLVM IR / language-specific IR,Manual / GC / ARC / ownership varies,Native desktop/server/embedded,OS process boundary,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/Comparison_of_application_virtualization_software
482,S,SYCL Runtime,GPU / accelerator,Accelerator execution runtime,"CUDA, HIP, OpenCL, SYCL, C/C++, accelerator kernels",JIT / AOT / device execution,PTX / SPIR-V / native GPU code,Host/device managed,GPU / accelerator computing,Driver/device boundary,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://docs.nvidia.com/cuda/cuda-runtime-api/index.html
483,T,Tamarin,JavaScript engines,Language engine / VM,JavaScript; some WebAssembly,Interpreter + JIT varies,Engine bytecode / machine code,Garbage collected,"Browsers, runtimes, embedded applications",Embedding host controls sandbox,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/List_of_JavaScript_engines
484,T,Tamarin VM,Historical / portable VMs,Virtual machine / educational or legacy runtime,Various,Interpreter / JIT / AOT varies,Portable bytecode / IR,Varies,"Historical, research, legacy systems",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/Comparison_of_application_virtualization_software
485,T,Tau Prolog Runtime,Other language runtimes,Language runtime / VM / execution environment,"Prolog, Tcl, AWK, Forth, Haxe, Dart and others",Interpreter / JIT / AOT / native varies,Language-specific bytecode / native / JS / Wasm,Varies,"CLI, server, desktop, browser, embedded",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/Comparison_of_application_virtualization_software
486,T,Tcl bytecode VM,Other language runtimes,Language runtime / VM / execution environment,"Prolog, Tcl, AWK, Forth, Haxe, Dart and others",Interpreter / JIT / AOT / native varies,Language-specific bytecode / native / JS / Wasm,Varies,"CLI, server, desktop, browser, embedded",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/Comparison_of_application_virtualization_software
487,T,Tcl Runtime,Other language runtimes,Language runtime / VM / execution environment,"Prolog, Tcl, AWK, Forth, Haxe, Dart and others",Interpreter / JIT / AOT / native varies,Language-specific bytecode / native / JS / Wasm,Varies,"CLI, server, desktop, browser, embedded",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/Comparison_of_application_virtualization_software
488,T,TeaJS,JavaScript / TypeScript,Application runtime,JavaScript / TypeScript,Interpreter / JIT / AOT varies,JavaScript source / engine-specific bytecode,Garbage collected,Server / embedded / edge / experimental,Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/List_of_JavaScript_engines
489,T,Tencent Cloud SCF Runtime,Edge / serverless,Managed execution platform,Multi-language / JavaScript / WebAssembly varies,Managed process / isolate / Wasm execution,Provider-defined,Provider-managed,Cloud / edge,Provider sandbox / isolate / container boundary,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,Execution platform rather than a standalone language VM; overlaps cloud/serverless taxonomy.,https://2025.stateofjs.com/en-US/other-tools/
490,T,Terra Runtime,Lua,Language runtime / VM / JIT,Lua / Lua-derived languages,Interpreter / trace JIT / native varies,Lua bytecode / native / JavaScript / BEAM,Garbage collected,"Embedded, games, servers, scripting",Embedding host controls sandbox,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://luajit.org/luajit.html
491,T,Tessel JavaScript Runtime,JavaScript / TypeScript,Application runtime,JavaScript / TypeScript,Interpreter / JIT / AOT varies,JavaScript source / engine-specific bytecode,Garbage collected,Server / embedded / edge / experimental,Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/List_of_JavaScript_engines
492,T,Tiny-JS,JavaScript engines,Language engine / VM,JavaScript; some WebAssembly,Interpreter + JIT varies,Engine bytecode / machine code,Garbage collected,"Browsers, runtimes, embedded applications",Embedding host controls sandbox,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/List_of_JavaScript_engines
493,T,TinyGo Embedded Runtime,Embedded / constrained,Embedded runtime / VM,"Java ME, .NET, Python, JavaScript, Ruby, Lua, Go, WebAssembly",Interpreter / AOT / JIT varies,Bytecode / native / Wasm,Small-footprint managed or manual,"Microcontrollers, IoT, RTOS",Device/firmware constraints,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/Comparison_of_application_virtualization_software
494,T,TinyGo Runtime,Native / compiled-language runtime systems,Runtime system / execution engine,"Go, Haskell, OCaml, Julia, R, Swift, Kotlin Native, Rust, Zig, Nim, D, Ada, Fortran and others",Native compiled / JIT / bytecode varies,Native code / LLVM IR / language-specific IR,Manual / GC / ARC / ownership varies,Native desktop/server/embedded,OS process boundary,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/Comparison_of_application_virtualization_software
495,T,TinyPy,Python,Language runtime / implementation,Python,Bytecode interpreter / JIT / AOT varies,Python bytecode / JVM / CLR / Wasm / native varies,Garbage collected / reference counting varies,"Server, desktop, browser, embedded",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://www.python.org/download/alternatives/
496,T,TinyScheme Runtime,Lisp / Scheme / Clojure,Language runtime / compiler runtime,"Common Lisp, Scheme, Clojure",Native compiler / bytecode interpreter / JVM / JS varies,Native / JVM bytecode / VM bytecode,Garbage collected,"Server, desktop, scripting, embedded",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/List_of_Lisp_software_and_tools
497,T,TOAM Jr.,Historical / portable VMs,Virtual machine / educational or legacy runtime,Various,Interpreter / JIT / AOT varies,Portable bytecode / IR,Varies,"Historical, research, legacy systems",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/Comparison_of_application_virtualization_software
498,T,Tock Process Runtime,Embedded / constrained,Embedded runtime / VM,"Java ME, .NET, Python, JavaScript, Ruby, Lua, Go, WebAssembly",Interpreter / AOT / JIT varies,Bytecode / native / Wasm,Small-footprint managed or manual,"Microcontrollers, IoT, RTOS",Device/firmware constraints,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/Comparison_of_application_virtualization_software
499,T,Topaz,Ruby,Language runtime / VM / JIT,Ruby,Interpreter / bytecode VM / JIT / AOT varies,YARV bytecode / JVM bytecode / native / JavaScript varies,Garbage collected,"Server, desktop, embedded, browser",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/Comparison_of_application_virtualization_software
500,T,TraceMonkey,JavaScript engines,Language engine / VM,JavaScript; some WebAssembly,Interpreter + JIT varies,Engine bytecode / machine code,Garbage collected,"Browsers, runtimes, embedded applications",Embedding host controls sandbox,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/List_of_JavaScript_engines
501,T,Transcrypt Runtime,Python,Language runtime / implementation,Python,Bytecode interpreter / JIT / AOT varies,Python bytecode / JVM / CLR / Wasm / native varies,Garbage collected / reference counting varies,"Server, desktop, browser, embedded",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://www.python.org/download/alternatives/
502,T,Trealla Prolog Runtime,Other language runtimes,Language runtime / VM / execution environment,"Prolog, Tcl, AWK, Forth, Haxe, Dart and others",Interpreter / JIT / AOT / native varies,Language-specific bytecode / native / JS / Wasm,Varies,"CLI, server, desktop, browser, embedded",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/Comparison_of_application_virtualization_software
503,T,Triton Language Runtime,GPU / accelerator,Accelerator execution runtime,"CUDA, HIP, OpenCL, SYCL, C/C++, accelerator kernels",JIT / AOT / device execution,PTX / SPIR-V / native GPU code,Host/device managed,GPU / accelerator computing,Driver/device boundary,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://docs.nvidia.com/cuda/cuda-runtime-api/index.html
504,T,TruffleRuby,Ruby,Language runtime / VM / JIT,Ruby,Interpreter / bytecode VM / JIT / AOT varies,YARV bytecode / JVM bytecode / native / JavaScript varies,Garbage collected,"Server, desktop, embedded, browser",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/Comparison_of_application_virtualization_software
505,T,TurboFan,JavaScript engines,Language engine / VM,JavaScript; some WebAssembly,Interpreter + JIT varies,Engine bytecode / machine code,Garbage collected,"Browsers, runtimes, embedded applications",Embedding host controls sandbox,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/List_of_JavaScript_engines
506,T,Txiki.js,JavaScript / TypeScript,Application runtime,JavaScript / TypeScript,Interpreter / JIT / AOT varies,JavaScript source / engine-specific bytecode,Garbage collected,Server / embedded / edge / experimental,Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/List_of_JavaScript_engines
507,U,uClibc-ng,Native system runtimes,Runtime library / ABI layer,"C, C++ and native languages",Native execution support,Native machine code / ABI,Manual / language-specific,"Operating systems, embedded, native applications",OS process boundary,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/Comparison_of_application_virtualization_software
508,U,UCSD p-System p-code Machine,Historical / portable VMs,Virtual machine / educational or legacy runtime,Various,Interpreter / JIT / AOT varies,Portable bytecode / IR,Varies,"Historical, research, legacy systems",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/Comparison_of_application_virtualization_software
509,U,UHC Runtime,Native / compiled-language runtime systems,Runtime system / execution engine,"Go, Haskell, OCaml, Julia, R, Swift, Kotlin Native, Rust, Zig, Nim, D, Ada, Fortran and others",Native compiled / JIT / bytecode varies,Native code / LLVM IR / language-specific IR,Manual / GC / ARC / ownership varies,Native desktop/server/embedded,OS process boundary,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/Comparison_of_application_virtualization_software
510,U,Unicon Runtime,Other language runtimes,Language runtime / VM / execution environment,"Prolog, Tcl, AWK, Forth, Haxe, Dart and others",Interpreter / JIT / AOT / native varies,Language-specific bytecode / native / JS / Wasm,Varies,"CLI, server, desktop, browser, embedded",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/Comparison_of_application_virtualization_software
511,U,Unity IL2CPP Runtime,.NET / CLI,Managed runtime / AOT runtime,CLI languages / CIL,JIT / AOT / interpreter varies,CIL / native code / Wasm,Garbage collected,"Desktop, server, mobile, games, browser, embedded",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://learn.microsoft.com/en-us/dotnet/fundamentals/implementations
512,U,Unity Mono Runtime,.NET / CLI,Managed runtime / AOT runtime,CLI languages / CIL,JIT / AOT / interpreter varies,CIL / native code / Wasm,Garbage collected,"Desktop, server, mobile, games, browser, embedded",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://learn.microsoft.com/en-us/dotnet/fundamentals/implementations
513,U,Unladen Swallow,Python,Language runtime / implementation,Python,Bytecode interpreter / JIT / AOT varies,Python bytecode / JVM / CLR / Wasm / native varies,Garbage collected / reference counting varies,"Server, desktop, browser, embedded",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://www.python.org/download/alternatives/
514,V,V Language Runtime,Other language runtimes,Language runtime / VM / execution environment,"Prolog, Tcl, AWK, Forth, Haxe, Dart and others",Interpreter / JIT / AOT / native varies,Language-specific bytecode / native / JS / Wasm,Varies,"CLI, server, desktop, browser, embedded",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/Comparison_of_application_virtualization_software
515,V,V8,JavaScript engines,Language engine / VM,JavaScript; some WebAssembly,Interpreter + JIT varies,Engine bytecode / machine code,Garbage collected,"Browsers, runtimes, embedded applications",Embedding host controls sandbox,Google / Chromium,"Used by Chrome, Node.js, Deno and embedders",,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,Open-source JavaScript and WebAssembly engine written in C++.,https://v8.dev/docs
516,V,Vercel Edge Runtime,Edge / serverless,Managed execution platform,Multi-language / JavaScript / WebAssembly varies,Managed process / isolate / Wasm execution,Provider-defined,Provider-managed,Cloud / edge,Provider sandbox / isolate / container boundary,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,Execution platform rather than a standalone language VM; overlaps cloud/serverless taxonomy.,https://2025.stateofjs.com/en-US/other-tools/
517,V,Vercel Functions Runtime,Edge / serverless,Managed execution platform,Multi-language / JavaScript / WebAssembly varies,Managed process / isolate / Wasm execution,Provider-defined,Provider-managed,Cloud / edge,Provider sandbox / isolate / container boundary,,,,,,3,1608,16.8,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,Execution platform rather than a standalone language VM; overlaps cloud/serverless taxonomy.,https://2025.stateofjs.com/en-US/other-tools/
518,V,Vert.x JavaScript Runtime,JavaScript / TypeScript,Application runtime,JavaScript / TypeScript,Interpreter / JIT / AOT varies,JavaScript source / engine-specific bytecode,Garbage collected,Server / embedded / edge / experimental,Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/List_of_JavaScript_engines
519,V,Vicare Runtime,Lisp / Scheme / Clojure,Language runtime / compiler runtime,"Common Lisp, Scheme, Clojure",Native compiler / bytecode interpreter / JVM / JS varies,Native / JVM bytecode / VM bytecode,Garbage collected,"Server, desktop, scripting, embedded",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/List_of_Lisp_software_and_tools
520,V,VisualAge Smalltalk VM,Smalltalk / Self,Object VM / language runtime,"Smalltalk, Self, Newspeak",Bytecode interpreter + JIT varies,Smalltalk bytecode / object memory,Garbage collected,"Desktop, research, server, browser",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://opensmalltalk.org/
521,V,VisualWorks VM,Smalltalk / Self,Object VM / language runtime,"Smalltalk, Self, Newspeak",Bytecode interpreter + JIT varies,Smalltalk bytecode / object memory,Garbage collected,"Desktop, research, server, browser",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://opensmalltalk.org/
522,V,VOC Python Runtime,Python,Language runtime / implementation,Python,Bytecode interpreter / JIT / AOT varies,Python bytecode / JVM / CLR / Wasm / native varies,Garbage collected / reference counting varies,"Server, desktop, browser, embedded",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://www.python.org/download/alternatives/
523,V,Vulkan Compute Runtime,GPU / accelerator,Accelerator execution runtime,"CUDA, HIP, OpenCL, SYCL, C/C++, accelerator kernels",JIT / AOT / device execution,PTX / SPIR-V / native GPU code,Host/device managed,GPU / accelerator computing,Driver/device boundary,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://docs.nvidia.com/cuda/cuda-runtime-api/index.html
524,W,Wagon,WebAssembly / WASI,WebAssembly runtime / engine,"WebAssembly, WASI components",Interpreter / JIT / AOT varies,Wasm / Component Model,Sandboxed linear memory,"Server, edge, embedded, plugins, blockchain",Wasm sandbox + capability model when WASI is used,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://github.com/appcypher/awesome-wasm-runtimes
525,W,WAKit,WebAssembly / WASI,WebAssembly runtime / engine,"WebAssembly, WASI components",Interpreter / JIT / AOT varies,Wasm / Component Model,Sandboxed linear memory,"Server, edge, embedded, plugins, blockchain",Wasm sandbox + capability model when WASI is used,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://github.com/appcypher/awesome-wasm-runtimes
526,W,WAM Prolog Runtime,Historical / portable VMs,Virtual machine / educational or legacy runtime,Various,Interpreter / JIT / AOT varies,Portable bytecode / IR,Varies,"Historical, research, legacy systems",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/Comparison_of_application_virtualization_software
527,W,WAMR AOT Runtime,WebAssembly / WASI,WebAssembly runtime / engine,"WebAssembly, WASI components",Interpreter / JIT / AOT varies,Wasm / Component Model,Sandboxed linear memory,"Server, edge, embedded, plugins, blockchain",Wasm sandbox + capability model when WASI is used,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://github.com/appcypher/awesome-wasm-runtimes
528,W,WAMR Classic Interpreter,WebAssembly / WASI,WebAssembly runtime / engine,"WebAssembly, WASI components",Interpreter / JIT / AOT varies,Wasm / Component Model,Sandboxed linear memory,"Server, edge, embedded, plugins, blockchain",Wasm sandbox + capability model when WASI is used,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://github.com/appcypher/awesome-wasm-runtimes
529,W,WAMR Embedded Runtime,Embedded / constrained,Embedded runtime / VM,"Java ME, .NET, Python, JavaScript, Ruby, Lua, Go, WebAssembly",Interpreter / AOT / JIT varies,Bytecode / native / Wasm,Small-footprint managed or manual,"Microcontrollers, IoT, RTOS",Device/firmware constraints,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/Comparison_of_application_virtualization_software
530,W,WAMR Fast Interpreter,WebAssembly / WASI,WebAssembly runtime / engine,"WebAssembly, WASI components",Interpreter / JIT / AOT varies,Wasm / Component Model,Sandboxed linear memory,"Server, edge, embedded, plugins, blockchain",Wasm sandbox + capability model when WASI is used,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://github.com/appcypher/awesome-wasm-runtimes
531,W,WarpMonkey,JavaScript engines,Language engine / VM,JavaScript; some WebAssembly,Interpreter + JIT varies,Engine bytecode / machine code,Garbage collected,"Browsers, runtimes, embedded applications",Embedding host controls sandbox,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/List_of_JavaScript_engines
532,W,Warpy,WebAssembly / WASI,WebAssembly runtime / engine,"WebAssembly, WASI components",Interpreter / JIT / AOT varies,Wasm / Component Model,Sandboxed linear memory,"Server, edge, embedded, plugins, blockchain",Wasm sandbox + capability model when WASI is used,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://github.com/appcypher/awesome-wasm-runtimes
533,W,Warren Abstract Machine,Historical / portable VMs,Virtual machine / educational or legacy runtime,Various,Interpreter / JIT / AOT varies,Portable bytecode / IR,Varies,"Historical, research, legacy systems",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/Comparison_of_application_virtualization_software
534,W,WASI libc,Native system runtimes,Runtime library / ABI layer,"C, C++ and native languages",Native execution support,Native machine code / ABI,Manual / language-specific,"Operating systems, embedded, native applications",OS process boundary,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/Comparison_of_application_virtualization_software
535,W,WASM Mono Runtime,.NET / CLI,Managed runtime / AOT runtime,CLI languages / CIL,JIT / AOT / interpreter varies,CIL / native code / Wasm,Garbage collected,"Desktop, server, mobile, games, browser, embedded",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://learn.microsoft.com/en-us/dotnet/fundamentals/implementations
536,W,Wasm2c Runtime,WebAssembly / WASI,WebAssembly runtime / engine,"WebAssembly, WASI components",Interpreter / JIT / AOT varies,Wasm / Component Model,Sandboxed linear memory,"Server, edge, embedded, plugins, blockchain",Wasm sandbox + capability model when WASI is used,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://github.com/appcypher/awesome-wasm-runtimes
537,W,wasm3,WebAssembly / WASI,WebAssembly runtime / engine,"WebAssembly, WASI components",Interpreter / JIT / AOT varies,Wasm / Component Model,Sandboxed linear memory,"Server, edge, embedded, plugins, blockchain",Wasm sandbox + capability model when WASI is used,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://github.com/appcypher/awesome-wasm-runtimes
538,W,wasm3 Embedded Runtime,Embedded / constrained,Embedded runtime / VM,"Java ME, .NET, Python, JavaScript, Ruby, Lua, Go, WebAssembly",Interpreter / AOT / JIT varies,Bytecode / native / Wasm,Small-footprint managed or manual,"Microcontrollers, IoT, RTOS",Device/firmware constraints,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/Comparison_of_application_virtualization_software
539,W,wasmCloud Runtime,WebAssembly / WASI,WebAssembly runtime / engine,"WebAssembly, WASI components",Interpreter / JIT / AOT varies,Wasm / Component Model,Sandboxed linear memory,"Server, edge, embedded, plugins, blockchain",Wasm sandbox + capability model when WASI is used,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://github.com/appcypher/awesome-wasm-runtimes
540,W,WasmEdge,WebAssembly / WASI,WebAssembly runtime / engine,"WebAssembly, WASI components",Interpreter / JIT / AOT varies,Wasm / Component Model,Sandboxed linear memory,"Server, edge, embedded, plugins, blockchain",Wasm sandbox + capability model when WASI is used,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://github.com/appcypher/awesome-wasm-runtimes
541,W,WasmEdge AOT Runtime,WebAssembly / WASI,WebAssembly runtime / engine,"WebAssembly, WASI components",Interpreter / JIT / AOT varies,Wasm / Component Model,Sandboxed linear memory,"Server, edge, embedded, plugins, blockchain",Wasm sandbox + capability model when WASI is used,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://github.com/appcypher/awesome-wasm-runtimes
542,W,WasmEdge Interpreter,WebAssembly / WASI,WebAssembly runtime / engine,"WebAssembly, WASI components",Interpreter / JIT / AOT varies,Wasm / Component Model,Sandboxed linear memory,"Server, edge, embedded, plugins, blockchain",Wasm sandbox + capability model when WASI is used,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://github.com/appcypher/awesome-wasm-runtimes
543,W,Wasmer,WebAssembly / WASI,WebAssembly runtime / engine,"WebAssembly, WASI components",Interpreter / JIT / AOT varies,Wasm / Component Model,Sandboxed linear memory,"Server, edge, embedded, plugins, blockchain",Wasm sandbox + capability model when WASI is used,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://github.com/appcypher/awesome-wasm-runtimes
544,W,Wasmer Cranelift,WebAssembly / WASI,WebAssembly runtime / engine,"WebAssembly, WASI components",Interpreter / JIT / AOT varies,Wasm / Component Model,Sandboxed linear memory,"Server, edge, embedded, plugins, blockchain",Wasm sandbox + capability model when WASI is used,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://github.com/appcypher/awesome-wasm-runtimes
545,W,Wasmer LLVM Backend,WebAssembly / WASI,WebAssembly runtime / engine,"WebAssembly, WASI components",Interpreter / JIT / AOT varies,Wasm / Component Model,Sandboxed linear memory,"Server, edge, embedded, plugins, blockchain",Wasm sandbox + capability model when WASI is used,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://github.com/appcypher/awesome-wasm-runtimes
546,W,Wasmer Singlepass,WebAssembly / WASI,WebAssembly runtime / engine,"WebAssembly, WASI components",Interpreter / JIT / AOT varies,Wasm / Component Model,Sandboxed linear memory,"Server, edge, embedded, plugins, blockchain",Wasm sandbox + capability model when WASI is used,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://github.com/appcypher/awesome-wasm-runtimes
